model_tag,metric,mean,ci_low,ci_high,n
conditional_gru_lm,best_epoch,40.0,40.0,40.0,3
conditional_gru_lm,val_loss,2.339809464947613,2.3302939928672166,2.3468551025298483,3
conditional_gru_lm,val_recon_loss,2.339809464947613,2.3302939928672166,2.3468551025298483,3
conditional_gru_lm,val_raw_kl,0.0,0.0,0.0,3
conditional_gru_lm,val_free_kl,0.0,0.0,0.0,3
conditional_gru_lm,val_aux_condition_loss,0.0,0.0,0.0,3
conditional_gru_lm,val_token_acc,0.29748858097230985,0.29547900179015424,0.30071636828995824,3
conditional_gru_lm,val_active_units_main,,,,0
conditional_gru_lm,val_mean_latent_var,,,,0
conditional_gru_lm,val_mean_mu_abs,,,,0
conditional_gru_lm,val_mean_kl_per_dim,,,,0
conditional_gru_lm,val_recon_subset_n,500.0,500.0,500.0,3
conditional_gru_lm,val_recon_edit_distance_mean,0.6822810681932955,0.6802849449023413,0.6852990658143628,3
conditional_gru_lm,val_recon_exact_rate,0.0,0.0,0.0,3
conditional_gru_lm,val_recon_condition_fidelity,0.04933333333333334,0.04800000000000001,0.05000000000000001,3
conditional_gru_lm,test_loss,2.305417310936646,2.3035477276568144,2.3068687927857883,3
conditional_gru_lm,test_recon_loss,2.305417310936646,2.3035477276568144,2.3068687927857883,3
conditional_gru_lm,test_raw_kl,0.0,0.0,0.0,3
conditional_gru_lm,test_free_kl,0.0,0.0,0.0,3
conditional_gru_lm,test_aux_condition_loss,0.0,0.0,0.0,3
conditional_gru_lm,test_token_acc,0.31417527818707164,0.3132365216084013,0.31550145938586727,3
conditional_gru_lm,test_active_units_main,,,,0
conditional_gru_lm,test_mean_latent_var,,,,0
conditional_gru_lm,test_mean_mu_abs,,,,0
conditional_gru_lm,test_mean_kl_per_dim,,,,0
conditional_gru_lm,test_recon_subset_n,500.0,500.0,500.0,3
conditional_gru_lm,test_recon_edit_distance_mean,0.6621088626047044,0.6586432947677013,0.6654898813229976,3
conditional_gru_lm,test_recon_exact_rate,0.0,0.0,0.0,3
conditional_gru_lm,test_recon_condition_fidelity,0.062,0.054,0.066,3
conditional_gru_lm,gen_n_generated,2189.0,2189.0,2189.0,3
conditional_gru_lm,gen_valid_rate,0.9916247906197655,0.9862951119232526,0.9949748743718593,3
conditional_gru_lm,gen_novelty_rate,0.9996954469316278,0.9995431703974417,1.0,3
conditional_gru_lm,gen_uniqueness_rate,1.0,1.0,1.0,3
conditional_gru_lm,gen_low_complexity_rate,0.016293589157910765,0.014618547281863866,0.018730013704888075,3
conditional_gru_lm,gen_exact_train_overlap_rate,0.00030455306837216383,0.0,0.0004568296025582458,3
conditional_gru_lm,gen_nn_similarity_train_mean,0.09845720418089894,0.09779370406596394,0.09886225923830379,3
conditional_gru_lm,gen_condition_fidelity,0.5367747830059387,0.5139333028780265,0.5518501598903609,3
conditional_gru_lm,gen_per_condition_surrogate_hit_mean,0.5102224459051593,0.4895657955663842,0.5251779106760982,3
conditional_gru_lm,gen_pairwise_diversity,0.9977524731563024,0.9975401492594066,0.9979146982268242,3
conditional_gru_lm,val_beta,1.0,1.0,1.0,3
conditional_gru_lm,val_n,13248.0,13248.0,13248.0,3
conditional_gru_lm,val_active_units_thr_0.001,,,,0
conditional_gru_lm,val_active_units_thr_0.01,,,,0
conditional_gru_lm,val_active_units_thr_0.05,,,,0
conditional_gru_lm,val_kl_dim_00,,,,0
conditional_gru_lm,val_kl_dim_01,,,,0
conditional_gru_lm,val_kl_dim_02,,,,0
conditional_gru_lm,val_kl_dim_03,,,,0
conditional_gru_lm,val_kl_dim_04,,,,0
conditional_gru_lm,val_kl_dim_05,,,,0
conditional_gru_lm,val_kl_dim_06,,,,0
conditional_gru_lm,val_kl_dim_07,,,,0
conditional_gru_lm,val_kl_dim_08,,,,0
conditional_gru_lm,val_kl_dim_09,,,,0
conditional_gru_lm,val_kl_dim_10,,,,0
conditional_gru_lm,val_kl_dim_11,,,,0
conditional_gru_lm,val_kl_dim_12,,,,0
conditional_gru_lm,val_kl_dim_13,,,,0
conditional_gru_lm,val_kl_dim_14,,,,0
conditional_gru_lm,val_kl_dim_15,,,,0
conditional_gru_lm,val_kl_dim_16,,,,0
conditional_gru_lm,val_kl_dim_17,,,,0
conditional_gru_lm,val_kl_dim_18,,,,0
conditional_gru_lm,val_kl_dim_19,,,,0
conditional_gru_lm,val_kl_dim_20,,,,0
conditional_gru_lm,val_kl_dim_21,,,,0
conditional_gru_lm,val_kl_dim_22,,,,0
conditional_gru_lm,val_kl_dim_23,,,,0
conditional_gru_lm,val_kl_dim_24,,,,0
conditional_gru_lm,val_kl_dim_25,,,,0
conditional_gru_lm,val_kl_dim_26,,,,0
conditional_gru_lm,val_kl_dim_27,,,,0
conditional_gru_lm,val_kl_dim_28,,,,0
conditional_gru_lm,val_kl_dim_29,,,,0
conditional_gru_lm,val_kl_dim_30,,,,0
conditional_gru_lm,val_kl_dim_31,,,,0
conditional_gru_lm,test_beta,1.0,1.0,1.0,3
conditional_gru_lm,test_n,13250.0,13250.0,13250.0,3
conditional_gru_lm,test_active_units_thr_0.001,,,,0
conditional_gru_lm,test_active_units_thr_0.01,,,,0
conditional_gru_lm,test_active_units_thr_0.05,,,,0
conditional_gru_lm,test_kl_dim_00,,,,0
conditional_gru_lm,test_kl_dim_01,,,,0
conditional_gru_lm,test_kl_dim_02,,,,0
conditional_gru_lm,test_kl_dim_03,,,,0
conditional_gru_lm,test_kl_dim_04,,,,0
conditional_gru_lm,test_kl_dim_05,,,,0
conditional_gru_lm,test_kl_dim_06,,,,0
conditional_gru_lm,test_kl_dim_07,,,,0
conditional_gru_lm,test_kl_dim_08,,,,0
conditional_gru_lm,test_kl_dim_09,,,,0
conditional_gru_lm,test_kl_dim_10,,,,0
conditional_gru_lm,test_kl_dim_11,,,,0
conditional_gru_lm,test_kl_dim_12,,,,0
conditional_gru_lm,test_kl_dim_13,,,,0
conditional_gru_lm,test_kl_dim_14,,,,0
conditional_gru_lm,test_kl_dim_15,,,,0
conditional_gru_lm,test_kl_dim_16,,,,0
conditional_gru_lm,test_kl_dim_17,,,,0
conditional_gru_lm,test_kl_dim_18,,,,0
conditional_gru_lm,test_kl_dim_19,,,,0
conditional_gru_lm,test_kl_dim_20,,,,0
conditional_gru_lm,test_kl_dim_21,,,,0
conditional_gru_lm,test_kl_dim_22,,,,0
conditional_gru_lm,test_kl_dim_23,,,,0
conditional_gru_lm,test_kl_dim_24,,,,0
conditional_gru_lm,test_kl_dim_25,,,,0
conditional_gru_lm,test_kl_dim_26,,,,0
conditional_gru_lm,test_kl_dim_27,,,,0
conditional_gru_lm,test_kl_dim_28,,,,0
conditional_gru_lm,test_kl_dim_29,,,,0
conditional_gru_lm,test_kl_dim_30,,,,0
conditional_gru_lm,test_kl_dim_31,,,,0
full_cvae,best_epoch,40.0,40.0,40.0,3
full_cvae,val_loss,2.981828584763163,2.9745075057670114,2.986331686305539,3
full_cvae,val_recon_loss,2.338472420850622,2.3309580991809495,2.3425025156730617,3
full_cvae,val_raw_kl,0.4977795521994144,0.49611772373678603,0.499337214058724,3
full_cvae,val_free_kl,0.6410506655628555,0.6403468809841911,0.6415266434927493,3
full_cvae,val_aux_condition_loss,0.0046109806291831,0.004541847760370676,0.004686056469805575,3
full_cvae,val_token_acc,0.2976588042033484,0.29689045935183755,0.29917356637498643,3
full_cvae,val_active_units_main,32.0,32.0,32.0,3
full_cvae,val_mean_latent_var,0.03016294725239277,0.030130470171570778,0.030222848057746887,3
full_cvae,val_mean_mu_abs,0.1665679266055425,0.16609111428260803,0.16685378551483154,3
full_cvae,val_mean_kl_per_dim,0.0155556108802557,0.01550367847084999,0.015604287385940552,3
full_cvae,val_recon_subset_n,500.0,500.0,500.0,3
full_cvae,val_recon_edit_distance_mean,0.8298338632151102,0.8224838730486107,0.8357741926018677,3
full_cvae,val_recon_exact_rate,0.0,0.0,0.0,3
full_cvae,val_recon_condition_fidelity,0.051333333333333335,0.038,0.062,3
full_cvae,test_loss,2.947777435884536,2.9381778294725236,2.9540079368015504,3
full_cvae,test_recon_loss,2.3044786023253914,2.294241878203626,2.310833412314361,3
full_cvae,test_raw_kl,0.4988254637958119,0.49523668686848765,0.501507408744884,3
full_cvae,test_free_kl,0.6409649826085793,0.6403790872052031,0.6416751584646837,3
full_cvae,test_aux_condition_loss,0.00466769538020844,0.0045216034743583424,0.004813864649958768,3
full_cvae,test_token_acc,0.31146891935264553,0.307300354500321,0.3181841574377008,3
full_cvae,test_active_units_main,32.0,32.0,32.0,3
full_cvae,test_mean_latent_var,0.030280600612362225,0.030146876350045204,0.030519381165504456,3
full_cvae,test_mean_mu_abs,0.16678649187088013,0.16601507365703583,0.16766133904457092,3
full_cvae,test_mean_kl_per_dim,0.015609486649433771,0.015497211366891861,0.015694690868258476,3
full_cvae,test_recon_subset_n,500.0,500.0,500.0,3
full_cvae,test_recon_edit_distance_mean,0.8434227400890233,0.8345017224180684,0.849287663155205,3
full_cvae,test_recon_exact_rate,0.0,0.0,0.0,3
full_cvae,test_recon_condition_fidelity,0.042,0.034,0.05000000000000001,3
full_cvae,gen_n_generated,2189.0,2189.0,2189.0,3
full_cvae,gen_valid_rate,0.9949748743718594,0.99223389675651,0.9963453631795339,3
full_cvae,gen_novelty_rate,0.9995431703974417,0.9990863407948835,1.0,3
full_cvae,gen_uniqueness_rate,1.0,1.0,1.0,3
full_cvae,gen_low_complexity_rate,0.020709608649307144,0.017816354499771585,0.024211968935587025,3
full_cvae,gen_exact_train_overlap_rate,0.0004568296025582458,0.0,0.0009136592051164917,3
full_cvae,gen_nn_similarity_train_mean,0.09684608548251848,0.09506686099389361,0.0986443678286363,3
full_cvae,gen_condition_fidelity,0.5481955230698949,0.5367747830059388,0.563270899954317,3
full_cvae,gen_per_condition_surrogate_hit_mean,0.5242924335106237,0.5139336712135814,0.5386935719948102,3
full_cvae,gen_pairwise_diversity,0.9975924396116956,0.9975050061025321,0.9976426449217083,3
full_cvae,val_beta,1.0,1.0,1.0,3
full_cvae,val_n,13248.0,13248.0,13248.0,3
full_cvae,val_active_units_thr_0.001,32.0,32.0,32.0,3
full_cvae,val_active_units_thr_0.01,32.0,32.0,32.0,3
full_cvae,val_active_units_thr_0.05,0.0,0.0,0.0,3
full_cvae,val_kl_dim_00,0.01499662920832634,0.013806167989969254,0.017341872677206993,3
full_cvae,val_kl_dim_01,0.015551307859520117,0.013863705098628998,0.01815783418715,3
full_cvae,val_kl_dim_02,0.01741215493530035,0.012495304457843304,0.020967772230505943,3
full_cvae,val_kl_dim_03,0.017556626970569294,0.015422353520989418,0.018861081451177597,3
full_cvae,val_kl_dim_04,0.015808916340271633,0.015204532071948051,0.016464225947856903,3
full_cvae,val_kl_dim_05,0.01669602623830239,0.015327430330216885,0.019265318289399147,3
full_cvae,val_kl_dim_06,0.0157178637261192,0.014329028315842152,0.0177195742726326,3
full_cvae,val_kl_dim_07,0.015046844569345316,0.012802524492144585,0.01737058348953724,3
full_cvae,val_kl_dim_08,0.015014123482008776,0.014233186841011047,0.015950294211506844,3
full_cvae,val_kl_dim_09,0.013204219751060009,0.010573388077318668,0.016033858060836792,3
full_cvae,val_kl_dim_10,0.01535079845537742,0.009615627117455006,0.018222352489829063,3
full_cvae,val_kl_dim_11,0.015885252505540848,0.014615174382925034,0.018385738134384155,3
full_cvae,val_kl_dim_12,0.015303670118252436,0.014298937283456326,0.016769923269748688,3
full_cvae,val_kl_dim_13,0.016486322817703087,0.01352225337177515,0.019504496827721596,3
full_cvae,val_kl_dim_14,0.01393445177624623,0.01290986966341734,0.01572452113032341,3
full_cvae,val_kl_dim_15,0.014345973109205564,0.013121587224304676,0.015327385626733303,3
full_cvae,val_kl_dim_16,0.015925513890882332,0.0142891900613904,0.018334215506911278,3
full_cvae,val_kl_dim_17,0.01668367659052213,0.013113724067807198,0.019580908119678497,3
full_cvae,val_kl_dim_18,0.01664671767503023,0.014829513616859913,0.018404165282845497,3
full_cvae,val_kl_dim_19,0.01582914311438799,0.014769232831895351,0.016404196619987488,3
full_cvae,val_kl_dim_20,0.013805837680896124,0.010155240073800087,0.016958726570010185,3
full_cvae,val_kl_dim_21,0.015843191494544346,0.013720846734941006,0.01831664703786373,3
full_cvae,val_kl_dim_22,0.015536699754496416,0.013158549554646015,0.01803554594516754,3
full_cvae,val_kl_dim_23,0.015398372585574785,0.013405216857790947,0.016490528360009193,3
full_cvae,val_kl_dim_24,0.015647419107457,0.013499856926500797,0.018123770132660866,3
full_cvae,val_kl_dim_25,0.017420389379064243,0.01497449167072773,0.018752586096525192,3
full_cvae,val_kl_dim_26,0.015228567024072012,0.011976748704910278,0.01716044172644615,3
full_cvae,val_kl_dim_27,0.015294631322224935,0.012874526903033257,0.017787113785743713,3
full_cvae,val_kl_dim_28,0.015622026907900969,0.012827464379370213,0.017339369282126427,3
full_cvae,val_kl_dim_29,0.016277148698767025,0.015472845174372196,0.01784498617053032,3
full_cvae,val_kl_dim_30,0.014092829388876757,0.012852310203015804,0.014952480792999268,3
full_cvae,val_kl_dim_31,0.014216192066669464,0.013331294991075993,0.01505871769040823,3
full_cvae,test_beta,1.0,1.0,1.0,3
full_cvae,test_n,13250.0,13250.0,13250.0,3
full_cvae,test_active_units_thr_0.001,32.0,32.0,32.0,3
full_cvae,test_active_units_thr_0.01,32.0,32.0,32.0,3
full_cvae,test_active_units_thr_0.05,0.0,0.0,0.0,3
full_cvae,test_kl_dim_00,0.01557212540258964,0.01390389259904623,0.01870827004313469,3
full_cvae,test_kl_dim_01,0.014939979339639345,0.013355107977986336,0.016708027571439743,3
full_cvae,test_kl_dim_02,0.017283509174982708,0.012889513745903969,0.019604448229074478,3
full_cvae,test_kl_dim_03,0.017541435547173023,0.015340258367359638,0.018656009808182716,3
full_cvae,test_kl_dim_04,0.015480175303916136,0.014490851201117039,0.016789544373750687,3
full_cvae,test_kl_dim_05,0.016619063913822174,0.014502186328172684,0.019678542390465736,3
full_cvae,test_kl_dim_06,0.015651125460863113,0.0140350591391325,0.017553649842739105,3
full_cvae,test_kl_dim_07,0.014606310365100702,0.01243570540100336,0.01611328125,3
full_cvae,test_kl_dim_08,0.015036454734702906,0.014271973632276058,0.0156392939388752,3
full_cvae,test_kl_dim_09,0.013201546234389147,0.01044421922415495,0.015483959577977657,3
full_cvae,test_kl_dim_10,0.015733409983416397,0.009647672064602375,0.018803825601935387,3
full_cvae,test_kl_dim_11,0.01603903000553449,0.014188170433044434,0.018997149541974068,3
full_cvae,test_kl_dim_12,0.015739542121688526,0.01457294262945652,0.01684536598622799,3
full_cvae,test_kl_dim_13,0.016948483884334564,0.014424886554479599,0.02000454068183899,3
full_cvae,test_kl_dim_14,0.014547580853104591,0.013646923936903477,0.01558765396475792,3
full_cvae,test_kl_dim_15,0.014270880570014318,0.012411778792738914,0.01560467854142189,3
full_cvae,test_kl_dim_16,0.015825610607862473,0.014126772060990334,0.018126793205738068,3
full_cvae,test_kl_dim_17,0.01625597042342027,0.012481257319450378,0.018560217693448067,3
full_cvae,test_kl_dim_18,0.016214221405486267,0.01478631142526865,0.018009955063462257,3
full_cvae,test_kl_dim_19,0.016540352255105972,0.015934132039546967,0.017144400626420975,3
full_cvae,test_kl_dim_20,0.014155588112771511,0.01103510893881321,0.01763731800019741,3
full_cvae,test_kl_dim_21,0.015951019401351612,0.014224113896489143,0.017382444813847542,3
full_cvae,test_kl_dim_22,0.015820849686861038,0.012931937351822853,0.018694434314966202,3
full_cvae,test_kl_dim_23,0.015163868355254332,0.013391311280429363,0.016088776290416718,3
full_cvae,test_kl_dim_24,0.015683018291989963,0.014562016353011131,0.01737910509109497,3
full_cvae,test_kl_dim_25,0.017626925371587276,0.015399894677102566,0.019133014604449272,3
full_cvae,test_kl_dim_26,0.015665256418287754,0.011557920835912228,0.01809621788561344,3
full_cvae,test_kl_dim_27,0.014967843579749266,0.012259621173143387,0.01725165918469429,3
full_cvae,test_kl_dim_28,0.015494447201490402,0.013134758919477463,0.017231132835149765,3
full_cvae,test_kl_dim_29,0.01666140432159106,0.01608186401426792,0.01772414520382881,3
full_cvae,test_kl_dim_30,0.014057192330559095,0.012523233890533447,0.01497553288936615,3
full_cvae,test_kl_dim_31,0.014209330702821413,0.01303128432482481,0.015336201526224613,3
no_condition,best_epoch,40.0,40.0,40.0,3
no_condition,val_loss,2.383850284244703,2.38277130311238,2.3857741471074054,3
no_condition,val_recon_loss,2.383850284244703,2.38277130311238,2.3857741471074054,3
no_condition,val_raw_kl,0.0,0.0,0.0,3
no_condition,val_free_kl,0.0,0.0,0.0,3
no_condition,val_aux_condition_loss,0.0,0.0,0.0,3
no_condition,val_token_acc,0.28905230753909733,0.28726745322773295,0.29067351693963717,3
no_condition,val_active_units_main,,,,0
no_condition,val_mean_latent_var,,,,0
no_condition,val_mean_mu_abs,,,,0
no_condition,val_mean_kl_per_dim,,,,0
no_condition,val_recon_subset_n,500.0,500.0,500.0,3
no_condition,val_recon_edit_distance_mean,0.7052435150547495,0.7047166131084627,0.7059851343832827,3
no_condition,val_recon_exact_rate,0.0,0.0,0.0,3
no_condition,val_recon_condition_fidelity,0.04466666666666667,0.042,0.046000000000000006,3
no_condition,test_loss,2.363948260043402,2.3605054329926114,2.3688757095516855,3
no_condition,test_recon_loss,2.363948260043402,2.3605054329926114,2.3688757095516855,3
no_condition,test_raw_kl,0.0,0.0,0.0,3
no_condition,test_free_kl,0.0,0.0,0.0,3
no_condition,test_aux_condition_loss,0.0,0.0,0.0,3
no_condition,test_token_acc,0.2985820734784912,0.2952205950307775,0.30065254124428514,3
no_condition,test_active_units_main,,,,0
no_condition,test_mean_latent_var,,,,0
no_condition,test_mean_mu_abs,,,,0
no_condition,test_mean_kl_per_dim,,,,0
no_condition,test_recon_subset_n,500.0,500.0,500.0,3
no_condition,test_recon_edit_distance_mean,0.686471033451387,0.6848922846720603,0.6893951959811514,3
no_condition,test_recon_exact_rate,0.0,0.0,0.0,3
no_condition,test_recon_condition_fidelity,0.05933333333333333,0.046000000000000006,0.068,3
no_condition,gen_n_generated,2189.0,2189.0,2189.0,3
no_condition,gen_valid_rate,0.9923861732906959,0.9917770671539515,0.9926907263590681,3
no_condition,gen_novelty_rate,1.0,1.0,1.0,3
no_condition,gen_uniqueness_rate,0.999847723465814,0.9995431703974417,1.0,3
no_condition,gen_low_complexity_rate,0.01842546063651591,0.01735952489721334,0.019186843307446324,3
no_condition,gen_exact_train_overlap_rate,0.0,0.0,0.0,3
no_condition,gen_nn_similarity_train_mean,0.09524053523162908,0.09482885730331041,0.09562464818619824,3
no_condition,gen_condition_fidelity,0.041876046901172526,0.04020100502512563,0.043398812243033345,3
no_condition,gen_per_condition_surrogate_hit_mean,0.037216298266775645,0.03544686398430468,0.038734680500696235,3
no_condition,gen_pairwise_diversity,0.9976293145220815,0.997534515360235,0.9977532218291114,3
no_condition,val_beta,1.0,1.0,1.0,3
no_condition,val_n,13248.0,13248.0,13248.0,3
no_condition,val_active_units_thr_0.001,,,,0
no_condition,val_active_units_thr_0.01,,,,0
no_condition,val_active_units_thr_0.05,,,,0
no_condition,val_kl_dim_00,,,,0
no_condition,val_kl_dim_01,,,,0
no_condition,val_kl_dim_02,,,,0
no_condition,val_kl_dim_03,,,,0
no_condition,val_kl_dim_04,,,,0
no_condition,val_kl_dim_05,,,,0
no_condition,val_kl_dim_06,,,,0
no_condition,val_kl_dim_07,,,,0
no_condition,val_kl_dim_08,,,,0
no_condition,val_kl_dim_09,,,,0
no_condition,val_kl_dim_10,,,,0
no_condition,val_kl_dim_11,,,,0
no_condition,val_kl_dim_12,,,,0
