model_tag,seed,family,best_epoch,checkpoint_path,val_loss,val_recon_loss,val_raw_kl,val_free_kl,val_aux_condition_loss,val_token_acc,val_active_units_main,val_mean_latent_var,val_mean_mu_abs,val_mean_kl_per_dim,val_recon_subset_n,val_recon_edit_distance_mean,val_recon_exact_rate,val_recon_condition_fidelity,test_loss,test_recon_loss,test_raw_kl,test_free_kl,test_aux_condition_loss,test_token_acc,test_active_units_main,test_mean_latent_var,test_mean_mu_abs,test_mean_kl_per_dim,test_recon_subset_n,test_recon_edit_distance_mean,test_recon_exact_rate,test_recon_condition_fidelity,gen_n_generated,gen_valid_rate,gen_novelty_rate,gen_uniqueness_rate,gen_low_complexity_rate,gen_exact_train_overlap_rate,gen_nn_similarity_train_mean,gen_condition_fidelity,gen_per_condition_surrogate_hit_mean,gen_pairwise_diversity,val_beta,val_n,val_active_units_thr_0.001,val_active_units_thr_0.01,val_active_units_thr_0.05,val_kl_dim_00,val_kl_dim_01,val_kl_dim_02,val_kl_dim_03,val_kl_dim_04,val_kl_dim_05,val_kl_dim_06,val_kl_dim_07,val_kl_dim_08,val_kl_dim_09,val_kl_dim_10,val_kl_dim_11,val_kl_dim_12,val_kl_dim_13,val_kl_dim_14,val_kl_dim_15,val_kl_dim_16,val_kl_dim_17,val_kl_dim_18,val_kl_dim_19,val_kl_dim_20,val_kl_dim_21,val_kl_dim_22,val_kl_dim_23,val_kl_dim_24,val_kl_dim_25,val_kl_dim_26,val_kl_dim_27,val_kl_dim_28,val_kl_dim_29,val_kl_dim_30,val_kl_dim_31,test_beta,test_n,test_active_units_thr_0.001,test_active_units_thr_0.01,test_active_units_thr_0.05,test_kl_dim_00,test_kl_dim_01,test_kl_dim_02,test_kl_dim_03,test_kl_dim_04,test_kl_dim_05,test_kl_dim_06,test_kl_dim_07,test_kl_dim_08,test_kl_dim_09,test_kl_dim_10,test_kl_dim_11,test_kl_dim_12,test_kl_dim_13,test_kl_dim_14,test_kl_dim_15,test_kl_dim_16,test_kl_dim_17,test_kl_dim_18,test_kl_dim_19,test_kl_dim_20,test_kl_dim_21,test_kl_dim_22,test_kl_dim_23,test_kl_dim_24,test_kl_dim_25,test_kl_dim_26,test_kl_dim_27,test_kl_dim_28,test_kl_dim_29,test_kl_dim_30,test_kl_dim_31
conditional_gru_lm,42,gru,40,/home/data3/Moe/nature_computational2/step6_v5/models/step6_conditional_gru_lm_seed42.pt,2.3302939928672166,2.3302939928672166,0.0,0.0,0.0,0.30071636828995824,,,,,500,0.6812591938631823,0.0,0.048,2.3035477276568144,2.3035477276568144,0.0,0.0,0.0,0.3132365216084013,,,,,500,0.6586432947677013,0.0,0.066,2189,0.9949748743718593,0.9995431703974418,1.0,0.014618547281863865,0.00045682960255824577,0.09779370406596394,0.544540886249429,0.5159236314729956,0.9979146982268242,1.0,13248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,13250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conditional_gru_lm,52,gru,40,/home/data3/Moe/nature_computational2/step6_v5/models/step6_conditional_gru_lm_seed52.pt,2.3468551025298483,2.3468551025298483,0.0,0.0,0.0,0.29547900179015424,,,,,500,0.6852990658143627,0.0,0.05,2.305835412367335,2.305835412367335,0.0,0.0,0.0,0.31550145938586727,,,,,500,0.6654898813229976,0.0,0.066,2189,0.9936043855641845,1.0,1.0,0.015532206486980357,0.0,0.09871564923842913,0.5518501598903609,0.5251779106760982,0.9975401492594066,1.0,13248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,13250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conditional_gru_lm,62,gru,40,/home/data3/Moe/nature_computational2/step6_v5/models/step6_conditional_gru_lm_seed62.pt,2.3422792994457744,2.3422792994457744,0.0,0.0,0.0,0.296270372836817,,,,,500,0.6802849449023414,0.0,0.05,2.3068687927857883,2.3068687927857883,0.0,0.0,0.0,0.3137878535669464,,,,,500,0.6621934117234142,0.0,0.054,2189,0.9862951119232526,0.9995431703974418,1.0,0.018730013704888075,0.00045682960255824577,0.0988622592383038,0.5139333028780265,0.4895657955663842,0.9978025719826769,1.0,13248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,13250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full_cvae,42,cvae,40,/home/data3/Moe/nature_computational2/step6_v5/models/step6_full_cvae_seed42.pt,2.986331686305539,2.3425025156730617,0.499337214058724,0.6415266434927493,0.004605037657373049,0.29689045935183755,32.0,0.03013552352786064,0.16609111428260803,0.015604287385940552,500,0.8357741926018677,0.0,0.062,2.9540079368015504,2.310833412314361,0.499732295774064,0.640840702155851,0.004667618016308208,0.3089222461199148,32.0,0.030146876350045204,0.16601507365703583,0.015636557713150978,500,0.849287663155205,0.0,0.034,2189,0.996345363179534,0.9990863407948835,1.0,0.024211968935587025,0.0009136592051164915,0.09682702762502556,0.563270899954317,0.5386935719948102,0.9975050061025321,1.0,13248.0,32.0,32.0,0.0,0.013841846957802773,0.01815783418715,0.020967772230505943,0.018386445939540863,0.015204532071948051,0.015495330095291138,0.014329028315842152,0.012802524492144585,0.015950294211506844,0.016033858060836792,0.018222352489829063,0.014615174382925034,0.014842149801552296,0.01352225337177515,0.01290986966341734,0.014588946476578712,0.018334215506911278,0.017356397584080696,0.016706474125385284,0.016404196619987488,0.010155240073800087,0.015492080710828304,0.01803554594516754,0.016299372538924217,0.013499856926500797,0.01497449167072773,0.016548510640859604,0.017787113785743713,0.012827464379370213,0.015513614751398563,0.014473697170615196,0.01505871769040823,1.0,13250.0,32.0,32.0,0.0,0.01390389259904623,0.016708027571439743,0.019604448229074478,0.018656009808182716,0.014490851201117039,0.014502186328172684,0.0140350591391325,0.01243570540100336,0.0156392939388752,0.015483959577977657,0.018748732283711433,0.014931770041584969,0.01457294262945652,0.014424886554479599,0.014408164657652378,0.014796184375882149,0.018126793205738068,0.017726436257362366,0.01478631142526865,0.016542524099349976,0.01103510893881321,0.016246499493718147,0.018694434314966202,0.016088776290416718,0.014562016353011131,0.015399894677102566,0.017341630533337593,0.01725165918469429,0.013134758919477463,0.01608186401426792,0.014672810211777687,0.015336201526224613
full_cvae,52,cvae,40,/home/data3/Moe/nature_computational2/step6_v5/models/step6_full_cvae_seed52.pt,2.9846465622169385,2.341956647697854,0.49611772373678603,0.6403468809841911,0.004686056469805575,0.29691238688322136,32.0,0.030130470171570778,0.16675888001918793,0.01550367847084999,500,0.8224838730486106,0.0,0.054,2.951146541379533,2.3083605164581873,0.49523668686848765,0.6403790872052031,0.004813864649958768,0.307300354500321,32.0,0.030175544321537018,0.16668306291103363,0.015497211366891861,500,0.8345017224180684,0.0,0.05,2189,0.996345363179534,0.9995431703974418,1.0,0.020100502512562814,0.00045682960255824577,0.09506686099389361,0.544540886249429,0.5202500573234795,0.9976296678108465,1.0,13248.0,32.0,32.0,0.0,0.013806167989969254,0.014632384292781353,0.012495304457843304,0.018861081451177597,0.01575799100100994,0.015327430330216885,0.0177195742726326,0.01737058348953724,0.014233186841011047,0.013005413115024567,0.01821441575884819,0.014654844999313354,0.016769923269748688,0.01643221825361252,0.01316896453499794,0.013121587224304676,0.015153136104345322,0.013113724067807198,0.018404165282845497,0.016313999891281128,0.016958726570010185,0.013720846734941006,0.01541600376367569,0.013405216857790947,0.018123770132660866,0.018534090369939804,0.01716044172644615,0.012874526903033257,0.017339369282126427,0.01784498617053032,0.012852310203015804,0.013331294991075993,1.0,13250.0,32.0,32.0,0.0,0.014104213565587997,0.013355107977986336,0.012889513745903969,0.018628038465976715,0.016789544373750687,0.015676463022828102,0.017553649842739105,0.01611328125,0.014271973632276058,0.013676459901034832,0.018803825601935387,0.014188170433044434,0.01684536598622799,0.016416024416685104,0.013646923936903477,0.012411778792738914,0.015223266556859016,0.012481257319450378,0.018009955063462257,0.017144400626420975,0.01763731800019741,0.014224113896489143,0.01583617739379406,0.013391311280429363,0.01737910509109497,0.01834786683320999,0.01809621788561344,0.012259621173143387,0.017231132835149765,0.01772414520382881,0.012523233890533447,0.01303128432482481
full_cvae,62,cvae,40,/home/data3/Moe/nature_computational2/step6_v5/models/step6_full_cvae_seed62.pt,2.9745075057670114,2.3309580991809495,0.49788371880273313,0.6412784722116258,0.004541847760370676,0.29917356637498643,32.0,0.030222848057746887,0.16685378551483154,0.015558866783976555,500,0.8312435239948519,0.0,0.038,2.9381778294725236,2.294241878203626,0.501507408744884,0.6416751584646837,0.0045216034743583424,0.3181841574377008,32.0,0.030519381165504456,0.16766133904457092,0.015694690868258476,500,0.8464788346937966,0.0,0.042,2189,0.9922338967565099,1.0,1.0,0.017816354499771585,0.0,0.0986443678286363,0.5367747830059388,0.5139336712135814,0.9976426449217083,1.0,13248.0,32.0,32.0,0.0,0.017341872677206993,0.013863705098628998,0.018773388117551804,0.015422353520989418,0.016464225947856903,0.019265318289399147,0.01510498858988285,0.014967425726354122,0.014858889393508434,0.010573388077318668,0.009615627117455006,0.018385738134384155,0.014298937283456326,0.019504496827721596,0.01572452113032341,0.015327385626733303,0.0142891900613904,0.019580908119678497,0.014829513616859913,0.014769232831895351,0.014303546398878098,0.01831664703786373,0.013158549554646015,0.016490528360009193,0.015318630263209343,0.018752586096525192,0.011976748704910278,0.015222253277897835,0.01669924706220627,0.015472845174372196,0.014952480792999268,0.01425856351852417,1.0,13250.0,32.0,32.0,0.0,0.01870827004313469,0.014756802469491959,0.019356565549969673,0.015340258367359638,0.015160130336880684,0.019678542390465736,0.015364667400717735,0.015269944444298744,0.015198096632957458,0.01044421922415495,0.009647672064602375,0.018997149541974068,0.015800317749381065,0.02000454068183899,0.01558765396475792,0.01560467854142189,0.014126772060990334,0.018560217693448067,0.01584639772772789,0.015934132039546967,0.013794337399303913,0.017382444813847542,0.012931937351822853,0.016011517494916916,0.015107933431863785,0.019133014604449272,0.011557920835912228,0.015392250381410122,0.01611744984984398,0.016178203746676445,0.01497553288936615,0.014260506257414818
no_condition,42,gru,40,/home/data3/Moe/nature_computational2/step6_v5/models/step6_no_condition_seed42.pt,2.3857741471074054,2.3857741471074054,0.0,0.0,0.0,0.28726745322773295,,,,,500,0.7059851343832827,0.0,0.042,2.3688757095516855,2.3688757095516855,0.0,0.0,0.0,0.2952205950307775,,,,,500,0.6893951959811514,0.0,0.046,2189,0.9926907263590681,1.0,1.0,0.018730013704888075,0.0,0.09526810020537863,0.043398812243033345,0.038734680500696235,0.9977532218291114,1.0,13248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,13250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_condition,52,gru,40,/home/data3/Moe/nature_computational2/step6_v5/models/step6_no_condition_seed52.pt,2.383005402514324,2.383005402514324,0.0,0.0,0.0,0.2892159524499219,,,,,500,0.7047166131084628,0.0,0.046,2.3605054329926114,2.3605054329926114,0.0,0.0,0.0,0.30065254124428514,,,,,500,0.6848922846720603,0.0,0.064,2189,0.9917770671539515,1.0,0.9995431703974418,0.019186843307446324,0.0,0.09562464818619823,0.04020100502512563,0.03544686398430468,0.9975345153602351,1.0,13248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,13250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_condition,62,gru,40,/home/data3/Moe/nature_computational2/step6_v5/models/step6_no_condition_seed62.pt,2.38277130311238,2.38277130311238,0.0,0.0,0.0,0.29067351693963717,,,,,500,0.7050287976725033,0.0,0.046,2.36246363758591,2.36246363758591,0.0,0.0,0.0,0.2998730841604109,,,,,500,0.6851256197009493,0.0,0.068,2189,0.9926907263590681,1.0,1.0,0.01735952489721334,0.0,0.09482885730331041,0.04202832343535861,0.03746735031532603,0.9976002063768976,1.0,13248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,13250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_condition,42,gru_random_condition,40,/home/data3/Moe/nature_computational2/step6_v5/models/step6_random_condition_seed42.pt,2.3939528338575133,2.3939528338575133,0.0,0.0,0.0,0.2852071830889013,,,,,500,0.7094057461080079,0.0,0.042,2.365205687432919,2.365205687432919,0.0,0.0,0.0,0.30062783207218635,,,,,500,0.6862886062611656,0.0,0.056,2189,0.9931475559616263,0.9995431703974418,1.0,0.019186843307446324,0.00045682960255824577,0.09258317909379807,0.04431247144814984,0.040351347411212234,0.9976311154723174,1.0,13248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,13250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_condition,52,gru_random_condition,40,/home/data3/Moe/nature_computational2/step6_v5/models/step6_random_condition_seed52.pt,2.384267573195379,2.384267573195379,0.0,0.0,0.0,0.28999010516119866,,,,,500,0.6986174154313242,0.0,0.052,2.368356198490791,2.368356198490791,0.0,0.0,0.0,0.2971318528826221,,,,,500,0.6890080325570804,0.0,0.046,2189,0.9931475559616263,1.0,1.0,0.015989036089538604,0.0,0.09776001491560145,0.043398812243033345,0.03925824556847532,0.9974800320991305,1.0,13248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,13250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random_condition,62,gru_random_condition,40,/home/data3/Moe/nature_computational2/step6_v5/models/step6_random_condition_seed62.pt,2.3834096118447863,2.3834096118447863,0.0,0.0,0.0,0.2909713071700607,,,,,500,0.7062734153758667,0.0,0.058,2.356677925991562,2.356677925991562,0.0,0.0,0.0,0.3039077278135984,,,,,500,0.6870396575823039,0.0,0.056,2189,0.9949748743718593,0.9995431703974418,1.0,0.02147099132023755,0.00045682960255824577,0.09550617418456997,0.04202832343535861,0.03816907594617814,0.9973414221472503,1.0,13248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,13250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retrieval,42,retrieval,0,,,,0.0,0.0,,,,,,,13248,0.4664838167834656,0.0,0.9353109903381642,,,0.0,0.0,,,,,,,13250,0.44592069063907874,0.0,0.9429433962264151,2189,1.0,0.0,0.9597989949748744,0.018730013704888075,1.0,1.0,0.9218821379625399,0.9127369802205721,0.9973864158363094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retrieval,52,retrieval,0,,,,0.0,0.0,,,,,,,13248,0.4664838167834656,0.0,0.9353109903381642,,,0.0,0.0,,,,,,,13250,0.44592069063907874,0.0,0.9429433962264151,2189,1.0,0.0,0.9529465509365007,0.016902695294655094,1.0,1.0,0.9310187300137049,0.9208171280649364,0.9976170996157372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
retrieval,62,retrieval,0,,,,0.0,0.0,,,,,,,13248,0.4664838167834656,0.0,0.9353109903381642,,,0.0,0.0,,,,,,,13250,0.44592069063907874,0.0,0.9429433962264151,2189,1.0,0.0,0.9570580173595249,0.019186843307446324,1.0,1.0,0.9273640931932389,0.9206985158815876,0.9974405686916157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
small_latent,42,cvae,40,/home/data3/Moe/nature_computational2/step6_v5/models/step6_small_latent_seed42.pt,2.5436049083580716,2.3834124348589762,0.12647976693899735,0.1601924000010974,0.0,0.2904585329016235,8.0,0.029601305723190308,0.15617507696151733,0.01580997183918953,500,0.8920473278542186,0.0,0.042,2.519353195370368,2.3569279934505247,0.14804153691372782,0.1624251791103831,0.0,0.3003903100370438,8.0,0.03550529479980469,0.171653613448143,0.018535612151026726,500,0.9055369287715087,0.0,0.026,2189,0.9890360895386021,1.0,1.0,0.0219278209227958,0.0,0.09843191707811239,0.0379168570123344,0.03350662350279416,0.9975671971163456,1.0,13248.0,8.0,8.0,0.0,0.01517810020595789,0.01619567908346653,0.01547238603234291,0.015150037594139576,0.01483896654099226,0.015138853341341019,0.01581539213657379,0.018690360710024834,,,,,,,,,,,,,,,,,,,,,,,,,1.0,13250.0,8.0,8.0,0.0,0.017692506313323975,0.01867099292576313,0.018382718786597252,0.018125878646969795,0.017735876142978668,0.01800139620900154,0.01840135268867016,0.021274177357554436,,,,,,,,,,,,,,,,,,,,,,,,
small_latent,52,cvae,40,/home/data3/Moe/nature_computational2/step6_v5/models/step6_small_latent_seed52.pt,2.543290433100456,2.3831754490949106,0.13762139964506823,0.16011490136528936,0.0,0.28910388189123715,8.0,0.033225271850824356,0.1672753095626831,0.017202675342559814,500,0.8214839909587475,0.0,0.07,2.5342945555201117,2.3712191362021104,0.1555035227807063,0.16307539046035624,0.0,0.2974769402654038,8.0,0.03772549331188202,0.18196554481983185,0.019430864602327347,500,0.8426239240731136,0.0,0.086,2189,0.9922338967565099,1.0,1.0,0.01964367291000457,0.0,0.09548159682988507,0.035175879396984924,0.032732816381191285,0.9975532321127987,1.0,13248.0,8.0,8.0,0.0,0.01786116138100624,0.018203217536211014,0.015810510143637657,0.01682712882757187,0.017664898186922073,0.017004650086164474,0.017551278695464134,0.016698557883501053,,,,,,,,,,,,,,,,,,,,,,,,,1.0,13250.0,8.0,8.0,0.0,0.02008238434791565,0.02072403021156788,0.018018662929534912,0.01877988874912262,0.01975216343998909,0.01936972327530384,0.019875667989253998,0.01884438656270504,,,,,,,,,,,,,,,,,,,,,,,,
small_latent,62,cvae,40,/home/data3/Moe/nature_computational2/step6_v5/models/step6_small_latent_seed62.pt,2.538802488990452,2.3778593275282116,0.1455919445640799,0.16094309559478853,0.0,0.2904986577773213,8.0,0.034884028136730194,0.16853860020637512,0.018198993057012558,500,0.8223075919145638,0.0,0.026,2.5324514930473185,2.3619603976843493,0.167672140829968,0.17049107687203388,0.0,0.30250836399457,8.0,0.040735628455877304,0.1838982105255127,0.020989052951335907,500,0.8430276117555198,0.0,0.028,2189,0.9899497487437185,1.0,1.0,0.019186843307446324,0.0,0.0926892795234187,0.04568296025582458,0.043730514403528084,0.9976685471521249,1.0,13248.0,8.0,8.0,0.0,0.01894097775220871,0.018349679186940193,0.0172642320394516,0.018288003280758858,0.018544139340519905,0.018751412630081177,0.01747489906847477,0.01797860860824585,,,,,,,,,,,,,,,,,,,,,,,,,1.0,13250.0,8.0,8.0,0.0,0.022033004090189934,0.02133369632065296,0.020606355741620064,0.021128198131918907,0.02059762366116047,0.021441783756017685,0.020528201013803482,0.020243555307388306,,,,,,,,,,,,,,,,,,,,,,,,
